Incident Zip,rat_sightings,ZIPCODE,total_inspections,unique_restaurants,avg_score,median_score,grade_A_pct
10001,287,10001.0,6733.0,471.0,18.991979800980246,14.0,0.0
10002,1059,10002.0,7161.0,467.0,19.76134618070102,16.0,0.0
10003,481,10003.0,10305.0,677.0,19.328578360019407,15.0,0.0
10004,25,10004.0,1897.0,145.0,16.622561939905115,13.0,0.0
10005,17,10005.0,795.0,66.0,18.862893081761005,13.0,0.0
10006,54,10006.0,600.0,40.0,22.013333333333332,16.0,0.0
10007,171,10007.0,1723.0,136.0,18.810214741729542,13.0,0.0
10009,906,10009.0,4543.0,290.0,18.196346026854503,15.0,0.0
10010,247,10010.0,3675.0,257.0,18.491972789115646,14.0,0.0
10011,442,10011.0,6526.0,459.0,18.512411890897948,15.0,0.0
10012,433,10012.0,5707.0,399.0,18.416856492027335,13.0,0.0
10013,484,10013.0,8474.0,488.0,20.66261505782393,17.0,0.0
10014,496,10014.0,5896.0,390.0,18.059701492537314,14.0,0.0
10016,295,10016.0,6723.0,412.0,19.58768406961178,15.0,0.0
10017,49,10017.0,5264.0,329.0,19.34669452887538,16.0,0.0
10018,102,10018.0,4715.0,342.0,19.6118769883351,15.0,0.0
10019,316,10019.0,9223.0,671.0,18.723408869131518,14.0,0.0
10020,2,10020.0,441.0,41.0,16.08843537414966,12.0,0.0
10021,287,10021.0,2324.0,148.0,18.41566265060241,14.0,0.0
10022,243,10022.0,6839.0,452.0,18.5339961982746,15.0,0.0
10023,543,10023.0,2384.0,189.0,18.103607382550337,13.0,0.0
10024,864,10024.0,2889.0,186.0,19.71547248182762,16.0,0.0
10025,1770,10025.0,4036.0,223.0,20.639246778989097,17.0,0.0
10026,972,10026.0,1281.0,83.0,19.391881342701016,17.0,0.0
10027,1150,10027.0,2365.0,163.0,19.441860465116278,16.0,0.0
10028,476,10028.0,2868.0,199.0,18.764644351464437,15.0,0.0
10029,867,10029.0,3192.0,202.0,20.711466165413533,18.0,0.0
10030,629,10030.0,573.0,45.0,17.551483420593367,16.0,0.0
10031,1218,10031.0,1796.0,110.0,19.987193763919823,17.0,0.0
10032,903,10032.0,1999.0,115.0,19.92296148074037,17.0,0.0
10033,840,10033.0,1668.0,113.0,19.3794964028777,16.0,0.0
10034,608,10034.0,1755.0,109.0,19.516239316239318,17.0,0.0
10035,593,10035.0,1088.0,80.0,18.329963235294116,16.0,0.0
10036,445,10036.0,8639.0,595.0,19.27549484894085,14.0,0.0
10037,195,10037.0,449.0,32.0,19.50334075723831,16.0,0.0
10038,233,10038.0,2886.0,197.0,20.71101871101871,16.0,0.0
10039,267,10039.0,455.0,29.0,17.582417582417584,13.0,0.0
10040,504,10040.0,1034.0,74.0,20.098646034816248,17.0,0.0
10044,7,10044.0,63.0,7.0,10.761904761904763,10.0,0.0
10065,185,10065.0,2676.0,182.0,18.233931240657697,14.0,0.0
10069,14,10069.0,50.0,4.0,15.78,12.0,0.0
10075,177,10075.0,1468.0,89.0,19.081062670299726,13.0,0.0
10128,911,10128.0,2574.0,153.0,19.8986013986014,16.0,0.0
10162,10,0.0,0.0,0.0,0.0,0.0,0.0
10174,1,10174.0,25.0,3.0,10.52,10.0,0.0
10271,1,10271.0,34.0,2.0,16.852941176470587,14.0,0.0
10280,18,10280.0,119.0,10.0,18.0,13.0,0.0
10282,11,10282.0,177.0,17.0,14.892655367231638,12.0,0.0
10301,295,10301.0,1427.0,101.0,19.746320953048354,17.0,0.0
10302,252,10302.0,881.0,62.0,19.846765039727583,17.0,0.0
10303,312,10303.0,450.0,35.0,19.182222222222222,15.0,0.0
10304,349,10304.0,665.0,52.0,23.0,19.0,0.0
10305,317,10305.0,1436.0,98.0,18.57033426183844,13.0,0.0
10306,522,10306.0,1307.0,102.0,17.9716908951798,14.0,0.0
10307,93,10307.0,335.0,28.0,17.797014925373134,13.0,0.0
10308,218,10308.0,743.0,53.0,20.33512786002692,14.0,0.0
10309,195,10309.0,841.0,73.0,18.1474435196195,14.0,0.0
10310,289,10310.0,905.0,56.0,22.641988950276243,20.0,0.0
10312,399,10312.0,1048.0,77.0,19.05057251908397,16.0,0.0
10314,570,10314.0,2535.0,173.0,19.7767258382643,17.0,0.0
10451,704,10451.0,1773.0,158.0,17.109419063733785,13.0,0.0
10452,1020,10452.0,1553.0,95.0,19.39214423696072,15.0,0.0
10453,1082,10453.0,1523.0,97.0,18.78069599474721,14.0,0.0
10454,442,10454.0,1026.0,69.0,19.384990253411306,15.5,0.0
10455,672,10455.0,1559.0,106.0,18.978191148171906,15.0,0.0
10456,1520,10456.0,1389.0,90.0,18.824334053275738,14.0,0.0
10457,1454,10457.0,1342.0,93.0,18.248137108792847,14.5,0.0
10458,1384,10458.0,2716.0,178.0,19.920103092783506,16.0,0.0
10459,920,10459.0,1066.0,74.0,18.912757973733584,15.0,0.0
10460,862,10460.0,795.0,73.0,16.57987421383648,12.0,0.0
10461,295,10461.0,2030.0,151.0,16.1679802955665,13.0,0.0
10462,866,10462.0,1997.0,142.0,17.245368052078117,14.0,0.0
10463,649,10463.0,1614.0,118.0,18.401486988847584,13.0,0.0
10464,50,10464.0,524.0,38.0,19.362595419847327,14.5,0.0
10465,275,10465.0,983.0,79.0,17.08850457782299,13.0,0.0
10466,507,10466.0,1355.0,90.0,17.88929889298893,14.0,0.0
10467,1530,10467.0,2132.0,153.0,18.44746716697936,15.0,0.0
10468,1042,10468.0,1682.0,103.0,19.698573127229487,16.0,0.0
10469,592,10469.0,1356.0,88.0,19.63864306784661,16.0,0.0
10470,165,10470.0,531.0,43.0,16.75141242937853,13.0,0.0
10471,103,10471.0,731.0,49.0,17.80437756497948,14.0,0.0
10472,820,10472.0,1575.0,110.0,17.612698412698414,15.0,0.0
10473,288,10473.0,389.0,28.0,18.164524421593832,16.0,0.0
10474,301,10474.0,474.0,35.0,17.417721518987342,13.0,0.0
10475,54,10475.0,724.0,56.0,17.772099447513813,14.0,0.0
11001,36,11001.0,28.0,2.0,16.928571428571427,13.0,0.0
11004,17,11004.0,422.0,29.0,17.27251184834123,13.0,0.0
11040,7,11040.0,337.0,20.0,18.3026706231454,16.0,0.0
11101,433,11101.0,4014.0,264.0,18.821873442949677,14.0,0.0
